AT,V,AP,RH,PE,TCN
28.25,57.19,1007.99,67.9,436.99,Christopher Clapman
8o.15,58.33,1013.55,45.47,444.09,Daniel Smithson
75.83,73.17,1012.2,85.88,435.66,Daniel Smithson
8.o3,40.07,1016.06,47.46,488.02,Christopher Clapman
9.o6,36.3,1015.14,58.71,477.38,Marc Wolf
24.92,73.68,1015.12,93.68,438.23,Antoin Tessier
16.26,38.58,1016.04,76.7,462.54,Marc Wolf
83.876,77.24,1008.35,78.93,433.69,Daniel Smithson
15.15,53.82,1016.34,62.59,461.6,Marc Wolf
26.65,66.48,1005.7,65.09,436.65,Antoin Tessier
24.18,59.92,1009.88,79.54,438.85,Antoin Tessier
3o.o3,70.02,1010.07,64.2,436.88,Antoin Tessier
85.262,70.17,999.71,71.0,434.85,Daniel Smithson
18.47,62.1,1019.86,82.57,452.51,Christopher Clapman
22.59,59.43,1005.85,84.02,442.0,Marc Wolf
18.o6,65.48,1018.79,77.95,454.34,Antoin Tessier
56.641999999999996,40.83,1008.53,84.81,471.26,Daniel Smithson
6.59,39.37,1020.34,77.92,488.17,Christopher Clapman
9.37,42.32,1015.15,82.96,477.57,Antoin Tessier
5o.864ooooooooooo4,36.71,1023.18,81.37,473.3,Daniel Smithson
29.9o5216o7o657957,71.25513558436302,1057.3702040607968,47.934131953217545,LOW,Simo Sikka
29.13,68.3,1014.96,37.08,437.25,Christopher Clapman
18.76,44.71,1015.15,30.83,462.18,Marc Wolf
23.68,68.3,1017.93,84.16,438.65,Antoin Tessier
15.9,39.99,1007.03,78.49,465.5,Antoin Tessier
14.o23782141o26762,50.93517800928205,987.7711001972152,59.82152062477725,LOW,Simo Sikka
7.o4,41.74,1021.91,88.55,488.99,Marc Wolf
24.39,70.72,1009.78,82.25,442.04,Antoin Tessier
24.4,60.37,1006.77,82.43,440.64,Christopher Clapman
19.84,56.89,1013.23,78.32,447.92,Antoin Tessier
49.1,37.36,1015.13,63.41,478.8,Daniel Smithson
12.32,43.69,1016.26,83.18,471.6,Marc Wolf
11.25,40.67,1011.64,63.54,480.49,Marc Wolf
7.4,41.03,1022.09,74.83,486.81,Christopher Clapman
35.56,68.94,1006.56,38.75,429.69,Antoin Tessier
5.98,41.31,1001.66,89.5,484.51,Christopher Clapman
78.12o13o32833o79,44.22801317395651,1057.7828241597224,49.14613074122191,LOW,Simo Sikka
6.67,36.08,1022.31,83.51,486.52,Marc Wolf
53.744,41.39,1019.45,78.3,477.8,Daniel Smithson
6.81,38.56,1016.5,70.99,487.45,Marc Wolf
17.57,62.1,1019.51,86.14,453.3,Christopher Clapman
24.8,72.24,1011.58,83.61,435.25,Antoin Tessier
23.66,60.37,1006.91,87.13,438.59,Marc Wolf
56.912,44.9,1007.58,63.62,463.27,Daniel Smithson
3.26,41.31,996.32,100.0,489.38,Christopher Clapman
8.42,40.64,1022.35,96.38,476.29,Antoin Tessier
59.828,42.07,1017.9,81.12,459.15,Daniel Smithson
3o.24,66.75,1017.95,55.66,435.02,Christopher Clapman
31.31,67.48,1009.71,57.06,440.38,Christopher Clapman
28.88,73.68,1015.25,47.73,432.93,Marc Wolf
18.2,49.39,1018.83,96.3,455.86,Marc Wolf
46.864752473573o84,39.64041955386089,1022.7266766833748,94.19691537341158,LOW,Simo Sikka
2o.46o4485328887,41.54444281189046,984.0847714926432,82.75565740327526,LOW,Simo Sikka
24.82,66.48,1006.4,70.21,433.62,Antoin Tessier
28.o4,74.33,1013.53,48.65,432.92,Antoin Tessier
22.45,59.87,1018.92,72.73,445.34,Christopher Clapman
15.31,52.75,1025.21,55.22,460.77,Antoin Tessier
22.31,70.32,1009.22,89.53,437.83,Christopher Clapman
25.38,71.73,1009.97,72.6,434.44,Marc Wolf
22.82,69.94,1004.65,73.47,437.32,Christopher Clapman
53.294,45.09,1013.11,88.52,470.32,Daniel Smithson
24.52,56.85,1012.59,54.47,438.89,Antoin Tessier
9.26,44.68,1023.22,91.44,478.82,Antoin Tessier
78.134,48.92,1009.99,34.64,439.87,Daniel Smithson
14.1318362635o2867,44.182441356159025,991.4030700107843,60.63291908637495,LOW,Simo Sikka
17.686821113848847,55.53211181212741,1117.9698790966115,72.75228215605382,LOW,Simo Sikka
85.1,71.14,1011.27,52.81,430.85,Daniel Smithson
81.59,65.59,1011.6,63.99,440.53,Daniel Smithson
3o.7,71.58,1010.0,48.96,429.27,Marc Wolf
28.o7,64.09,1005.41,64.09,436.61,Antoin Tessier
3o.61,68.84,1011.18,52.5,439.9,Christopher Clapman
18.67,44.06,1017.13,77.18,454.51,Christopher Clapman
84.614,74.22,1008.49,57.88,428.9,Daniel Smithson
9.82,39.96,1024.72,97.69,471.96,Marc Wolf
22.23,46.93,1013.09,58.02,448.27,Marc Wolf
2o.76,44.58,1017.09,57.47,462.01,Marc Wolf
25.35,65.18,1012.67,70.36,438.17,Christopher Clapman
67.442oooooooooo1,56.65,1020.86,73.41,455.32,Daniel Smithson
14.94,40.0,1017.69,65.43,456.41,Antoin Tessier
15.49,39.0,1016.01,71.31,462.28,Christopher Clapman
89.978,68.14,1003.34,62.44,426.56,Daniel Smithson
24.26,66.44,1011.33,55.32,445.63,Christopher Clapman
8o.438,61.5,1009.47,55.26,436.84,Daniel Smithson
72.o5,60.77,1017.8,82.19,444.05,Daniel Smithson
14.71,52.72,1024.7,70.29,462.34,Christopher Clapman
2o.27,63.56,1014.24,86.55,446.93,Marc Wolf
53.852ooooooooooo4,40.83,1010.56,78.31,474.82,Daniel Smithson
12.45,40.1,1015.4,82.61,473.63,Christopher Clapman
2o.696496155o35394,54.5657629912422,1069.032838385529,82.27754206699912,LOW,Simo Sikka
78.44,71.58,1010.08,85.14,435.2,Daniel Smithson
9.76,41.01,1019.66,97.59,467.6,Antoin Tessier
9.33,44.03,1011.73,86.04,474.15,Antoin Tessier
76.78195112277467,67.39564090744848,964.3127258630547,76.25557163946375,LOW,Simo Sikka
24.2316479oo747,45.3325634096771,1043.129788571224,74.9596510198468,LOW,Simo Sikka
4o.946,38.91,1018.99,89.86,489.96,Daniel Smithson
24.81,63.94,1018.76,44.51,444.26,Antoin Tessier
6.61,38.91,1015.77,92.31,484.32,Christopher Clapman
4.24,39.9,1009.28,96.74,491.25,Antoin Tessier
84.272,76.09,1007.52,75.44,430.32,Daniel Smithson
59.o53999999999995,43.71,1025.07,83.25,463.12,Daniel Smithson
29.76,73.56,1008.07,84.85,432.51,Christopher Clapman
7.57,41.14,1028.23,87.97,477.8,Marc Wolf
9.51,43.79,1016.02,79.81,481.12,Marc Wolf
24.92,48.92,1010.11,36.53,445.56,Marc Wolf
17.37,40.55,1001.19,71.42,460.97,Antoin Tessier
18.81,49.15,1020.79,67.09,459.81,Antoin Tessier
18.77,58.66,1010.34,87.25,454.54,Marc Wolf
26.o9,60.29,1017.72,50.83,444.71,Christopher Clapman
73.22,49.3,1003.45,80.95,441.77,Daniel Smithson
24.39,71.85,1009.73,72.24,438.2,Christopher Clapman
6.76,39.22,1013.91,77.0,487.08,Christopher Clapman
18.5,46.93,1015.0,66.81,455.63,Marc Wolf
26.43,66.48,1004.36,55.9,435.59,Marc Wolf
32.56,68.14,1004.02,35.04,425.11,Marc Wolf
76.6o4,58.46,1016.82,67.5,442.42,Daniel Smithson
21.64,44.05,1007.73,74.79,447.96,Christopher Clapman
29.45,70.02,1010.28,65.93,437.82,Marc Wolf
17.49,40.55,1001.73,73.15,462.37,Marc Wolf
11.53,41.14,1025.63,88.54,469.04,Antoin Tessier
18.41,44.89,1009.75,77.24,448.88,Marc Wolf
66.668,44.34,1019.45,51.32,467.72,Daniel Smithson
13.o7,42.18,1014.98,87.77,461.71,Christopher Clapman
26.588864739o5277,69.52838537300897,939.657578284474,35.56525297094223,LOW,Simo Sikka
48.326,40.67,1014.41,70.39,484.5,Daniel Smithson
85.46ooooooooooo1,67.17,1007.31,66.56,438.04,Daniel Smithson
13.47,44.88,1017.56,93.23,476.67,Christopher Clapman
2o.2,60.1,1010.66,84.24,451.17,Christopher Clapman
6o.656,41.79,1006.24,79.42,458.68,Daniel Smithson
28.68,61.86,1011.78,62.67,440.57,Christopher Clapman
8.27,40.69,1020.13,86.1,484.97,Antoin Tessier
76.658,59.43,1009.42,54.64,439.33,Daniel Smithson
15.21,43.5,1021.6,82.06,464.08,Christopher Clapman
13.96,40.83,1009.89,84.86,469.86,Marc Wolf
16.92,44.6,1017.34,58.75,460.17,Antoin Tessier
3o.68,69.68,1012.86,56.56,438.68,Antoin Tessier
27.35,77.95,1012.14,74.14,431.72,Marc Wolf
22.76,57.5,1014.75,74.38,451.7,Marc Wolf
28.92,66.51,1015.5,34.51,439.09,Antoin Tessier
81.428,66.54,1002.39,67.09,431.81,Daniel Smithson
81.842,70.32,1012.2,82.27,432.57,Daniel Smithson
9.72,41.44,1015.17,84.41,481.85,Marc Wolf
39.5o18292365o877,39.307240923019776,1022.5739352555604,76.39418944283119,LOW,Simo Sikka
16.785846827664752,38.822823092402714,981.8936753098794,57.18817635453666,LOW,Simo Sikka
4.15,39.9,1008.84,96.68,491.22,Marc Wolf
9.o8,42.49,1010.67,85.35,481.46,Christopher Clapman
71.o42,44.57,1005.84,71.53,447.88,Daniel Smithson
86.468,77.24,1008.39,74.25,430.51,Daniel Smithson
17.12,48.6,1007.38,79.15,454.47,Christopher Clapman
17.44,44.89,1009.9,80.54,457.67,Marc Wolf
19.22,62.1,1019.43,79.19,451.8,Christopher Clapman
27.44,47.93,1002.71,59.44,437.76,Christopher Clapman
24.67,61.5,1009.06,72.77,437.37,Christopher Clapman
52.646,25.36,1008.27,95.4,469.51,Daniel Smithson
2o.o6,62.1,1020.21,72.21,451.81,Marc Wolf
12.o2,39.69,1006.05,84.66,470.17,Christopher Clapman
16.72,44.34,1019.26,63.77,465.89,Marc Wolf
29.65,74.9,1003.22,71.09,433.32,Marc Wolf
23.91,67.69,1008.28,66.71,439.84,Marc Wolf
23.48,60.23,1011.91,79.48,437.44,Christopher Clapman
78.278,71.14,1010.02,66.39,432.46,Daniel Smithson
51.o25999999999996,41.55,1003.62,67.89,475.6,Daniel Smithson
13.33,40.64,1020.92,91.47,474.07,Christopher Clapman
58.o64,44.06,1018.73,75.88,467.46,Daniel Smithson
14.96,43.02,1012.77,42.93,467.16,Christopher Clapman
84.2,70.72,1009.51,67.72,437.55,Daniel Smithson
33.o1,69.88,1006.71,53.25,433.5,Marc Wolf
5o.846ooooooooooo4,43.14,1010.35,86.86,476.55,Daniel Smithson
11.8,42.34,1020.25,93.54,466.52,Christopher Clapman
17.9,52.08,1006.41,100.09,451.94,Antoin Tessier
11.6,40.69,1015.51,86.55,474.99,Christopher Clapman
11.48,36.18,1017.03,61.62,469.44,Marc Wolf
29.89,64.69,1006.37,58.78,435.39,Christopher Clapman
27.46,67.69,1004.7,70.15,432.64,Christopher Clapman
32.84,74.67,1015.89,31.81,430.88,Marc Wolf
25.9,59.54,1007.3,78.38,439.36,Antoin Tessier
27.89,69.88,1007.99,85.62,430.75,Marc Wolf
9.41,43.5,1021.0,88.74,473.84,Marc Wolf
24.34,48.78,1018.0,73.44,448.54,Antoin Tessier
8.o5,40.62,1018.16,73.67,477.2,Marc Wolf
4.47,35.19,1018.78,92.68,487.43,Antoin Tessier
58.153999999999996,39.0,1016.48,76.36,464.86,Daniel Smithson
26.73,77.95,1012.31,78.35,434.76,Marc Wolf
9.29,39.04,1022.72,74.29,482.55,Christopher Clapman
28.5,72.99,1007.02,67.13,433.24,Christopher Clapman
1o.317o3o9355o18,26.271795082482065,1052.7210862006257,99.28428185139916,LOW,Simo Sikka
25.21,69.48,1010.99,75.27,436.02,Marc Wolf
32.2,69.68,1012.12,42.47,437.35,Antoin Tessier
1o.25,41.46,1018.67,84.41,479.28,Antoin Tessier
6.45,40.02,1032.08,79.7,481.36,Christopher Clapman
74.642,77.54,1009.32,89.7,440.21,Daniel Smithson
26.66,73.56,1006.9,99.27,433.62,Antoin Tessier
15.3,43.67,1011.75,95.31,468.14,Marc Wolf
25.59,61.5,1009.12,68.0,439.14,Antoin Tessier
58.53o325o46571214,38.94615898110174,1053.1349453076673,81.3858957864118,LOW,Simo Sikka
12.24,44.9,1020.31,82.22,464.25,Antoin Tessier
76.514,71.14,1009.07,68.87,437.55,Daniel Smithson
11.65,41.54,1020.09,67.96,476.4,Antoin Tessier
78.o26,59.43,1008.88,61.19,438.9,Daniel Smithson
84.416,66.51,1015.69,37.9,432.88,Daniel Smithson
41.846ooooooooooo4,40.62,1018.66,83.61,481.56,Daniel Smithson
23.o5,48.98,1015.64,49.33,446.05,Marc Wolf
24.31,58.62,1017.29,64.44,449.12,Marc Wolf
71.456,49.02,1009.29,88.56,443.31,Daniel Smithson
5.1,35.57,1027.17,80.49,489.96,Antoin Tessier
8.7,36.24,1013.34,89.5,478.69,Christopher Clapman
73.184,63.91,1009.63,87.82,442.5,Daniel Smithson
16.13,53.82,1015.63,63.08,459.16,Antoin Tessier
7.64,43.79,1016.17,84.45,486.01,Marc Wolf
8.95,38.56,1017.85,64.34,475.43,Christopher Clapman
23.36,59.15,1013.71,86.64,442.53,Antoin Tessier
24.2,59.43,1009.69,62.3,440.66,Christopher Clapman
13.85,45.08,1024.86,83.85,468.35,Marc Wolf
5o.918,37.5,1010.7,96.29,474.24,Daniel Smithson
1o.27,52.75,1026.19,76.78,470.76,Christopher Clapman
8o.816,70.32,1009.94,52.67,429.08,Daniel Smithson
15.11,43.13,1014.99,46.91,466.74,Christopher Clapman
15.25,46.36,1019.69,95.83,461.68,Antoin Tessier
15.86,43.02,1012.18,40.33,466.6,Marc Wolf
21.o6,67.07,1004.9,84.09,446.44,Christopher Clapman
61.519999999999996,44.9,1009.22,82.31,456.11,Daniel Smithson
53.438,44.45,1021.39,84.49,466.52,Daniel Smithson
26.51,70.32,1010.3,57.4,431.82,Christopher Clapman
73.256,63.94,1019.28,42.69,444.22,Daniel Smithson
21.462o1o527195723,36.91876504226287,1119.463271164194,57.466615773057086,LOW,Simo Sikka
21.35,59.04,1012.28,95.71,445.83,Marc Wolf
26.25,66.56,1008.29,60.65,436.3,Antoin Tessier
14.85,45.87,1009.37,84.65,462.67,Christopher Clapman
9o.41,44.37,1005.05,44.37,429.81,Daniel Smithson
18.79,49.15,1021.69,70.16,458.75,Marc Wolf
14.28,42.74,1028.79,70.67,467.22,Christopher Clapman
22.89,65.34,1015.53,61.0,450.53,Marc Wolf
57.164,54.3,1015.58,74.91,466.52,Daniel Smithson
1o.77,41.54,1019.94,71.13,477.81,Christopher Clapman
54.176,41.62,1012.16,88.37,455.71,Daniel Smithson
8.38,39.22,1015.03,75.14,478.82,Christopher Clapman
13.89,41.49,1020.02,86.47,469.6,Antoin Tessier
23.61,59.39,1015.11,78.84,438.08,Christopher Clapman
25.74,63.73,1010.88,70.87,441.9,Antoin Tessier
63.41,42.28,1007.64,69.19,463.83,Daniel Smithson
26.58,59.39,1014.49,65.87,439.46,Marc Wolf
62.33oo3381947o15,53.821912107467995,1073.9230484850698,84.31392186379911,LOW,Simo Sikka
3o.56,72.39,999.96,69.81,430.85,Antoin Tessier
49.24116664365812,43.41941799150259,1046.684321600055,75.13010194737798,LOW,Simo Sikka
77.o36,69.75,1010.04,91.86,437.87,Daniel Smithson
83.768,60.23,1010.03,58.24,437.42,Daniel Smithson
22.93,51.19,1009.3,82.8,443.57,Marc Wolf
3o.12,69.68,1012.89,60.64,436.34,Marc Wolf
17.92,50.66,1012.62,93.0,456.84,Antoin Tessier
22.93,58.2,1017.75,54.09,444.95,Christopher Clapman
14.o84478322526444,49.48935228554193,928.4125987335126,100.94960220195206,LOW,Simo Sikka
82.o76,59.15,1012.74,42.78,442.0,Daniel Smithson
18.76,58.79,1016.66,88.22,453.44,Antoin Tessier
12.12,38.28,1013.65,90.19,471.19,Antoin Tessier
7.77,40.27,1010.25,83.65,485.54,Antoin Tessier
4o.622149o6371571,37.14255123642994,1019.3058592670316,82.39264469443671,LOW,Simo Sikka
26.23,63.56,1013.57,65.81,440.8,Antoin Tessier
26.91,70.02,1010.75,59.48,445.31,Marc Wolf
22.4,58.12,1015.24,78.03,449.13,Marc Wolf
23.45,45.61,1012.84,73.42,454.92,Antoin Tessier
45.572,38.56,1016.49,69.1,486.76,Daniel Smithson
31.46,66.54,1002.86,53.75,427.76,Antoin Tessier
24.7,50.23,1016.23,62.03,454.42,Antoin Tessier
28.57,69.84,1003.57,66.55,433.24,Antoin Tessier
89.33ooooooooooo1,73.21,1000.98,72.2,435.94,Daniel Smithson
18.94,48.7,1008.5,94.83,451.38,Christopher Clapman
27.6,69.34,1009.63,71.58,440.6,Marc Wolf
73.85,70.32,1009.28,86.52,437.96,Daniel Smithson
23.57,63.91,1011.65,80.74,441.93,Christopher Clapman
17.29,52.72,1024.71,62.32,467.23,Christopher Clapman
76.388,63.73,1011.4,74.52,444.37,Daniel Smithson
14.62,46.18,1014.75,96.81,462.26,Marc Wolf
83.892oo4o6o83796,68.97052195061761,1009.2298446354479,72.462720209978,LOW,Simo Sikka
17.68,53.16,1013.09,82.79,456.86,Marc Wolf
3o.56,71.98,1004.74,58.77,429.2,Christopher Clapman
13.74,34.03,1018.69,67.34,470.49,Marc Wolf
12.35,40.73,1019.03,95.53,466.71,Antoin Tessier
82.o26411o4o91o93,67.3709689550074,982.5541528089346,71.31544532114387,LOW,Simo Sikka
17.66,44.9,1020.5,71.33,457.11,Marc Wolf
31.5,70.32,1011.44,64.09,435.13,Christopher Clapman
55.9o3999999999996,43.8,1023.17,63.98,466.78,Daniel Smithson
61.952,43.14,1019.03,82.88,459.0,Daniel Smithson
24.19,50.23,1015.73,59.77,458.31,Antoin Tessier
28.o7,70.32,1007.17,67.02,430.29,Christopher Clapman
21.92,66.54,1012.49,79.82,443.03,Antoin Tessier
5.79,45.87,1010.23,95.41,480.97,Marc Wolf
7.41,39.16,1015.23,90.66,486.91,Antoin Tessier
74.6o6oooooooooo1,63.86,1019.67,57.95,441.73,Daniel Smithson
46.525999999999996,41.01,1023.26,97.5,474.09,Daniel Smithson
1o.39,40.22,1006.59,87.77,479.14,Antoin Tessier
8.14,37.49,1009.04,80.33,480.66,Christopher Clapman
14.56,45.51,1015.39,69.84,469.79,Antoin Tessier
43.7,38.68,1017.8,62.9,483.72,Daniel Smithson
25.2985o762714933,63.80484797530101,1040.2344725670137,78.29383119507322,LOW,Simo Sikka
23.76,58.41,1013.85,85.38,445.85,Antoin Tessier
18.o,52.08,1003.07,100.09,450.85,Marc Wolf
17.25,43.14,1018.34,76.17,462.8,Antoin Tessier
26.79,77.95,1009.9,80.22,437.91,Antoin Tessier
18.o3,58.86,1015.99,89.03,450.33,Marc Wolf
13.61,39.85,1012.78,58.12,475.62,Antoin Tessier
29.45,68.24,1007.45,32.81,432.53,Antoin Tessier
8.546784442975383,45.1756417033047,1075.4045054351645,86.36905037786615,LOW,Simo Sikka
21.8,62.39,1007.84,89.04,452.15,Antoin Tessier
9.42,39.64,1010.86,74.03,478.05,Marc Wolf
19.3,56.65,1020.55,70.43,459.1,Antoin Tessier
26.88,61.5,1009.17,61.26,440.13,Marc Wolf
15.776213235o91o62,41.009201738569814,1105.5408061428884,56.475946742455676,LOW,Simo Sikka
69.53,56.89,1013.15,68.22,450.07,Daniel Smithson
14.38,40.1,1015.51,81.23,467.28,Antoin Tessier
12.27,49.83,1007.75,92.02,467.1,Christopher Clapman
84.56,70.79,1004.8,63.74,425.2,Daniel Smithson
16.84,45.01,1016.14,75.74,456.85,Marc Wolf
92.156,68.51,1011.91,45.83,427.66,Daniel Smithson
28.62,68.24,1010.15,69.31,428.08,Marc Wolf
24.75,69.45,1013.97,53.49,438.28,Marc Wolf
32.95,75.08,1005.32,47.7,436.3,Antoin Tessier
11.3o1859232255868,41.93453570930712,1023.052588457582,88.02974805115139,LOW,Simo Sikka
28.268735o1767112,70.57710013605238,1081.6848995535483,36.551269853185964,LOW,Simo Sikka
11.35,40.73,1019.37,96.05,472.32,Marc Wolf
31.21,66.44,1008.57,65.76,430.7,Antoin Tessier
25.12,71.58,1010.18,87.5,433.58,Marc Wolf
27.84,72.39,1001.18,83.46,432.19,Antoin Tessier
18.26,59.15,1012.38,85.74,452.03,Antoin Tessier
59.162,43.13,1015.71,54.36,466.87,Daniel Smithson
85.352,54.2,1013.0,39.56,438.12,Daniel Smithson
8.99,36.66,1028.11,71.98,481.03,Marc Wolf
23.18,51.3,1012.04,78.64,448.86,Marc Wolf
13.85,44.9,1019.11,76.79,467.2,Antoin Tessier
4.o,39.9,1009.64,97.16,490.79,Marc Wolf
87.782,69.82,1009.41,50.84,437.46,Daniel Smithson
22.61,44.05,1005.69,76.74,443.45,Antoin Tessier
32.o7,70.94,1006.91,49.9,432.33,Antoin Tessier
1o.27,41.44,1017.04,77.09,479.3,Christopher Clapman
6.77,40.78,1024.86,96.58,478.24,Marc Wolf
24.748o72169155485,52.58991362283561,1104.4732183615395,77.58711487620681,LOW,Simo Sikka
23.12,69.71,1008.98,84.41,442.21,Antoin Tessier
15.86,43.67,1011.11,82.24,465.46,Antoin Tessier
25.o9,65.38,1009.99,54.28,453.58,Christopher Clapman
18.86,50.78,1008.46,91.67,446.7,Marc Wolf
76.172,57.85,1013.02,65.61,444.93,Daniel Smithson
22.79,50.78,1008.65,58.39,447.12,Antoin Tessier
26.66,70.02,1010.88,58.37,439.99,Antoin Tessier
27.o1,63.78,1016.72,47.89,442.6,Christopher Clapman
82.976,68.12,1011.62,46.75,433.59,Daniel Smithson
26.o1,58.41,1013.56,70.84,443.74,Antoin Tessier
8o.4o2,70.32,1012.39,87.17,435.56,Daniel Smithson
13.72,49.83,1006.88,89.49,463.65,Marc Wolf
13.61,41.16,1020.49,75.09,462.67,Christopher Clapman
82.5o8,68.24,1010.27,69.72,429.47,Daniel Smithson
19.45,46.33,1013.39,99.52,452.82,Marc Wolf
23.3o5664497153497,48.36171023889781,913.3590809539182,60.26131021571099,LOW,Simo Sikka
77.25349932153o3,70.58743786127675,963.5456006013668,77.54845353343407,LOW,Simo Sikka
17.82,65.48,1019.64,86.6,449.21,Christopher Clapman
13.9,45.08,1023.29,83.43,465.31,Marc Wolf
32.57,78.92,1011.6,66.47,430.12,Christopher Clapman
66.o38,45.01,1012.9,59.81,456.12,Daniel Smithson
7.3,39.72,1020.85,77.83,485.1,Antoin Tessier
12.43,43.22,1008.93,77.42,468.01,Antoin Tessier
26.73,49.02,1007.75,67.73,438.17,Marc Wolf
71.492,62.52,1015.99,74.56,449.87,Daniel Smithson
11.31,42.02,1001.18,94.86,471.26,Marc Wolf
89.762oooooooooo1,69.4,1003.1,56.91,430.62,Daniel Smithson
51.476,37.5,1009.23,96.62,473.9,Daniel Smithson
48.938,39.61,1016.14,78.38,477.34,Daniel Smithson
15.5,49.25,1021.41,77.92,453.99,Christopher Clapman
33.o8,69.75,1009.03,43.69,434.98,Christopher Clapman
5.51,35.57,1026.3,78.97,489.36,Antoin Tessier
56.354,40.71,1023.83,61.59,474.7,Daniel Smithson
79.646,63.13,1013.72,79.4,441.81,Daniel Smithson
3o.47,70.83,1010.91,46.94,444.39,Christopher Clapman
9.6293o8861643576,37.40550830413969,1028.516784469561,74.4789221227635,LOW,Simo Sikka
16.32,50.88,1013.37,97.19,458.28,Antoin Tessier
18.46,42.18,1001.47,97.61,458.67,Christopher Clapman
13.88,39.39,1014.08,80.48,471.39,Antoin Tessier
29.92,67.22,1014.09,50.62,444.78,Marc Wolf
22.98,69.84,1005.55,84.1,437.49,Antoin Tessier
24.97,58.95,1017.19,56.24,440.03,Antoin Tessier
14.48,40.83,1009.42,81.74,469.64,Antoin Tessier
17.86,50.88,1015.59,88.28,457.33,Christopher Clapman
23.94,51.95,1008.61,73.42,448.67,Antoin Tessier
1o.29,41.46,1020.84,89.03,480.32,Christopher Clapman
24.4,69.94,1005.75,58.1,438.76,Antoin Tessier
3o.75,73.5,1011.02,54.76,429.18,Marc Wolf
13.56,39.18,1023.4,63.82,470.38,Marc Wolf
54.932,49.83,1007.44,91.47,466.09,Daniel Smithson
11.77,40.0,1021.08,85.08,475.49,Marc Wolf
19.76,48.92,1010.48,46.57,456.69,Antoin Tessier
14.73,58.2,1019.45,82.48,458.56,Marc Wolf
26.44,71.77,1006.68,81.45,430.12,Marc Wolf
7o.934,71.85,1009.44,76.89,434.1,Daniel Smithson
1.81,39.42,1026.92,76.97,490.55,Antoin Tessier
19.75,57.32,1010.76,79.29,443.63,Christopher Clapman
59.828,44.6,1017.7,68.2,459.62,Daniel Smithson
25.57,62.96,1019.92,58.34,444.81,Marc Wolf
7.6,41.04,1021.82,88.97,475.32,Christopher Clapman
2o.23,52.05,1012.15,47.49,457.57,Antoin Tessier
72.122,45.01,1012.4,51.58,449.08,Daniel Smithson
15.67,38.62,1015.76,66.29,463.17,Marc Wolf
14.39,44.21,1019.77,85.7,465.03,Antoin Tessier
24.58,48.98,1014.96,38.75,459.79,Marc Wolf
2o.41,48.06,1012.62,76.21,451.26,Antoin Tessier
13.3,50.59,1019.38,92.96,469.13,Christopher Clapman
5.o7,40.07,1019.32,66.17,494.87,Marc Wolf
76.5865337o561456,55.107304035631984,917.5365254237952,74.93762038116085,LOW,Simo Sikka
24.11,66.51,1015.35,56.01,437.21,Marc Wolf
19.19,50.16,1011.12,99.91,449.52,Christopher Clapman
23.64,71.25,1004.92,93.87,442.26,Marc Wolf
65.156,63.94,1020.47,74.47,450.55,Daniel Smithson
29.o8,52.84,1006.14,40.09,438.24,Marc Wolf
6o.116,40.12,1013.03,96.26,462.59,Daniel Smithson
1o.59,39.96,1025.87,97.05,468.96,Marc Wolf
22.11,59.8,1016.74,73.9,453.45,Marc Wolf
64.o94,66.86,1011.65,77.31,456.56,Daniel Smithson
26.745743764468944,65.68455090787616,1042.5877169999994,61.70004434578582,LOW,Simo Sikka
29.1,76.2,1006.28,60.22,435.97,Antoin Tessier
28.23,62.26,1010.88,60.86,435.76,Christopher Clapman
23.93,64.45,1015.35,54.71,449.97,Marc Wolf
14.26,40.92,1022.07,73.96,460.38,Christopher Clapman
24.o5,70.4,1006.83,92.35,442.07,Marc Wolf
18.55,41.85,1015.24,62.47,467.51,Christopher Clapman
1o.8495o39o5672234,38.83701259853943,1049.7395079655792,97.1450834735038,LOW,Simo Sikka
25.52,67.17,1007.33,85.12,440.02,Marc Wolf
12.3o7843258593119,40.33202503704462,1096.9879981280585,85.85008789900228,LOW,Simo Sikka
88.376,74.33,1012.92,36.48,429.57,Daniel Smithson
1o.5,52.72,1026.32,85.04,468.01,Christopher Clapman
26.33,61.41,1011.9,52.1,452.79,Marc Wolf
88.142oooooooooo1,70.94,1007.29,51.91,436.6,Daniel Smithson
28.55,65.27,1013.34,48.95,437.62,Marc Wolf
14.73,54.3,1016.75,67.13,463.63,Marc Wolf
32.87,71.32,1004.36,54.69,433.15,Christopher Clapman
23.48,66.44,1011.28,61.11,443.21,Marc Wolf
15.o,41.35,1006.6,86.95,467.71,Marc Wolf
27.o64847o58619453,46.871382269376234,950.909992046194,44.31020314982478,LOW,Simo Sikka
17.48,43.14,1018.68,74.85,459.59,Antoin Tessier
86.594,70.32,1007.75,52.49,430.1,Daniel Smithson
27.o6,77.17,1008.71,90.6,432.2,Antoin Tessier
11.68,40.55,1022.21,85.76,475.13,Antoin Tessier
2o.55,63.86,1015.12,73.98,447.54,Marc Wolf
65.462,65.06,1015.75,80.72,450.4,Daniel Smithson
24.91,64.45,1013.02,42.34,450.84,Marc Wolf
12.37,43.22,1009.1,76.06,468.49,Marc Wolf
24.34,59.54,1004.01,87.07,440.63,Antoin Tessier
51.152,41.04,1025.0,93.59,468.88,Daniel Smithson
73.418,59.44,1012.82,82.62,445.72,Daniel Smithson
21.95,59.43,1010.29,74.67,442.84,Marc Wolf
